Age;BRSTVD;ISO 4406 large;ISO 4406 medium;ISO 4406 small;LNF-ROET;LNF-CUT;LNF-FIB;LNF-FW;LNF-NMW;LNF-SSW;LNF-UNC;P;V;AL;BA;CA;CR;CU;FE;MG;MN;NA;NI;PB;SI;SN;ZN;LI;TAN;TBN;VIS40;VIS99;VLAMCC;WATER
After 1 year;0.6;19;14;10;0.05;1;1;1;7;7;1;1400;1;2;5;3500;1;2;4;12;1;4;1;2;12;1;1500;1;3.3;;58.73;11.59;;0.10
After 1 year;0.8;;;;;;;;;;;1500;1;2;5;3400;1;7;8;7;1;43;1;2;8;1;1500;1;3.3;10.7;54.46;10.66;140.5;0.48
After 1 year;0.8;18;15;11;0.10;1;1;6;11;1;1;1500;1;2;5;3500;1;2;3;8;1;4;1;2;7;1;1500;1;3.5;11.2;58.78;11.58;192.5;0.08
After 1 year;0.8;20;17;1;0.15;1;1;1;1;1;1;1500;1;2;5;3700;1;3;5;8;1;4;1;2;8;1;1500;1;3.2;11.3;55.91;11.15;183.5;0.08
After 1 year;0.8;19;15;10;0.16;1;1;5;1;1;1;1500;1;2;5;3700;1;3;4;9;1;4;1;2;7;1;1500;1;3.3;11.1;56.05;11.16;197.0;0.06
After 1 year;0.8;19;15;1;0.06;1;1;1;1;1;1;1500;1;2;5;3600;1;4;4;10;1;4;1;2;8;1;1500;1;3.2;11.0;55.45;11.06;182.5;0.08
After 1 year;0.87;20;16;12;0.02;7;1;7;14;7;1;1400;1;2;5;3500;1;3;3;10;1;4;1;2;10;1;1500;1;3.0;11.0;57.53;11.35;182.5;0.04
After 1 year;0.9;23;20;15;0.12;6;1;49;19;80;12;1500;1;2;5;3500;1;1;4;7;1;4;1;2;8;1;1500;1;3.3;10.9;51.45;10.34;186.5;0.06
After 1 year;0.9;20;17;11;0.44;1;1;6;1;1;6;1400;1;2;5;3500;1;9;12;9;1;4;1;2;9;1;1500;1;3.1;11.1;52.63;10.45;188.0;0.15
After 1 year;1.0;21;17;12;0.67;10;1;1;10;5;1;1400;1;2;5;3600;1;8;16;9;1;4;1;2;9;1;1500;1;2.6;10.9;52.19;10.56;184.5;0.05
After 1 year;1.0;23;21;16;0.43;23;1;84;140;38;1;1500;1;2;5;3600;1;5;8;10;1;4;1;2;8;1;1600;1;3.5;11.3;54.11;10.82;191.0;0.09
After 1 year;1.0;21;17;1;0.92;1;1;1;1;1;1;1200;1;2;5;3300;2;24;28;16;1;4;1;5;7;2;1200;1;2.9;10.5;49.71;9.761;176.0;0.07
After 1 year;1.1;21;18;13;0.42;7;1;1;72;7;1;1400;1;2;5;3600;1;5;9;10;1;4;1;2;10;1;1500;1;2.9;11.1;54.27;10.77;193.0;0.06
After 1 year;1.1;19;15;10;0.01;1;1;1;6;1;1;1400;1;2;5;3600;1;2;3;7;1;4;1;2;8;1;1500;1;2.8;11.1;57.36;11.35;185.5;0.11
After 1 year;1.2;20;16;10;0.57;1;7;1;7;1;1;1400;1;2;5;3600;1;17;21;9;2;4;1;3;22;1;1500;1;3.0;10.9;55.51;10.51;181.5;0.07
After 1 year;1.3;37;13;13;0.01;1;1;1;1;1;1;1300;1;2;7;3200;1;12;6;33;1;4;1;5;6;1;1300;1;2.8;;50.87;10.23;;0.09
After 1 year;1.4;20;16;12;0.09;1;1;6;12;17;1;1500;1;2;5;3700;1;7;4;9;1;4;1;2;8;1;1600;1;3.1;11.3;54.53;10.93;178.5;0.09
After 1 year;1.4;20;16;13;0.07;7;7;7;29;7;1;1400;1;2;5;3500;1;6;4;10;1;4;1;2;10;1;1500;1;2.8;11.1;55.65;10.98;192.0;0.06
After 1 year;1.4;19;16;10;0.02;1;1;1;1;6;1;1400;1;2;5;3600;1;2;2;9;1;4;1;2;7;1;1500;1;3.5;11.2;55.63;11.18;176.0;0.08
After 1 year;1.6;21;18;12;0.33;1;1;11;11;1;5;1400;1;2;5;3400;1;7;10;10;1;4;1;2;6;1;1500;1;3.1;11.0;53.83;10.67;189.0;0.06
After 1 year;1.7;20;18;14;0.45;1;1;28;6;6;1;1400;1;2;5;3600;1;5;10;8;1;4;1;2;8;1;1400;1;2.7;11.2;52.76;10.64;185.0;0.06
After 1 year;1.8;21;18;11;0.16;1;1;1;1;1;1;1400;1;2;5;3400;1;8;7;9;1;5;1;2;9;1;1500;1;2.6;10.9;53.95;10.79;175.5;0.09
After 1 year;1.8;20;16;11;0.33;6;6;6;1;11;1;1400;1;2;5;3500;1;5;12;10;1;4;1;2;8;1;1500;1;3.0;10.8;51.28;10.40;181.0;0.07
After 1 year;1.8;18;14;10;0.08;6;1;1;6;1;1;1400;1;2;5;3600;1;5;3;9;1;4;1;2;8;1;1500;1;2.9;11.2;55.53;11.09;168.5;0.10
After 1 year;1.8;20;17;10;0.50;1;1;1;5;1;1;1300;1;2;5;3300;1;8;18;11;1;4;1;3;4;1;1300;1;3.2;10.5;45.81;9.651;177.5;0.08
After 1 year;1.9;20;16;10;0.13;1;1;1;5;1;1;1200;1;2;5;3300;1;13;11;19;1;4;1;4;6;1;1300;1;3.2;10.3;46.31;9.149;153.0;0.07
After 1 year;2.0;20;17;11;0.09;1;1;5;1;1;1;1400;1;2;5;3500;1;5;4;9;1;4;1;2;8;1;1500;1;2.9;11.0;55.34;10.99;188.0;0.08
After 1 year;2.0;19;15;11;0.50;5;1;11;1;1;1;1400;1;2;5;3400;1;12;17;11;1;4;1;2;7;1;1500;1;3.2;11.0;51.69;10.39;182.5;0.08
After 1 year;2.1;24;21;13;0.22;1;11;17;29;17;1;1400;1;3;5;2700;1;15;51;10;2;4;1;3;15;1;1500;1;2.8;9.0;56.13;11.26;190.0;0.07
After 1 year;2.1;21;17;1;0.13;1;1;1;1;1;1;1500;1;2;5;3700;1;6;6;8;1;4;1;2;8;1;1500;1;3.2;11.2;53.15;10.70;173.0;0.09
After 1 year;2.14;20;17;12;0.42;1;1;1;25;1;1;1200;1;2;10;3300;1;20;16;17;1;4;1;5;16;1;1300;1;2.9;10.0;49.93;9.769;170.0;0.07
After 1 year;2.2;19;16;12;0.07;1;5;1;16;5;1;1400;1;2;5;3500;1;5;6;9;1;4;1;2;6;1;1500;1;2.8;10.9;53.67;10.71;177.5;0.06
After 1 year;2.4;22;18;12;0.41;1;1;1;18;1;1;1200;1;2;6;3300;1;20;15;1;1;4;1;4;6;1;1300;1;3.3;10.2;51.73;9.875;170;0.07
After 1 year;2.5;18;14;10;0.09;1;1;5;1;5;1;1500;1;2;5;3700;1;3;4;8;1;4;1;2;7;1;1600;1;3.3;10.3;55.97;11.13;187.0;0.07
After 1 year;2.5;17;13;11;0.03;6;1;1;1;1;6;1500;1;2;5;3700;1;2;4;9;1;4;1;2;8;1;1500;1;3.6;11.7;53.74;10.79;181.0;0.09
After 1 year;2.5;17;14;1;0.07;1;1;1;1;1;1;1400;1;2;5;3600;1;4;4;11;1;4;1;2;8;1;1500;1;3.5;11.2;54.35;10.80;164.0;0.12
After 1 year;2.55;21;19;16;0.21;36;1;89;300;54;9;1200;1;2;8;3200;1;17;13;15;1;10;1;4;9;1;1300;1;2.8;10.5;51.37;9.788;181.0;0.12
After 1 year;2.7;20;17;12;0.17;1;1;1;25;6;1;1400;1;2;5;3600;1;6;13;8;1;4;1;2;8;1;1500;1;2.9;11.2;53.83;10.78;180.5;0.06
After 1 year;2.8;19;16;10;0.19;1;1;3;3;1;1;1400;1;2;5;3500;1;7;7;8;1;4;1;2;8;1;1500;1;2.4;11.0;53.17;10.70;181.0;0.09
After 1 year;2.8;19;16;10;0.16;6;6;1;1;1;1;1200;1;2;5;3400;1;13;9;17;1;4;1;3;6;1;1300;1;3.1;10.4;49.81;9.631;161.5;0.06
After 1 year;2.9;19;13;1;0.19;1;1;1;1;1;1;1400;1;2;5;3600;1;5;5;6;1;4;1;2;7;1;1500;1;3.2;11.3;53.37;10.76;168.5;0.08
After 1 year;2.9;21;16;10;0.28;1;1;1;5;1;1;1200;1;2;5;3400;1;12;10;19;1;4;1;3;6;1;1300;1;3.6;10.4;51.80;9.851;187.5;0.07
After 1 year;3.0;20;17;1;0.25;1;1;1;1;1;1;1400;1;2;5;3600;1;7;9;11;1;4;1;2;8;1;1500;1;3.6;11.3;51.11;10.24;178.5;0.08
After 1 year;3.1;21;17;13;0.21;7;1;15;7;7;1;1200;1;2;5;3400;1;20;12;17;1;4;1;4;15;1;1300;1;2.8;10.5;53.03;10.04;173.5;0.07
After 1 year;3.1;19;16;13;0.09;1;1;5;16;5;1;1500;1;2;5;3800;1;6;5;10;1;4;1;2;8;1;1500;1;3.1;10.9;49.39;9.902;170.5;0.06
After 1 year;3.2;19;16;1;0.03;1;1;1;1;1;1;1500;1;2;5;3600;1;3;3;6;1;4;1;2;7;1;1600;1;2.9;11.1;52.92;10.74;150.5;0.08
After 1 year;3.7;20;16;13;0.12;1;1;21;1;5;1;1400;1;2;5;3500;1;7;6;9;1;4;1;2;7;1;1500;1;2.9;11.1;53.33;10.64;162.5;0.08
After 1 year;3.7;20;16;13;0.36;13;1;1;33;20;7;1200;1;3;5;3300;1;16;12;10;1;4;1;3;6;1;1200;1;3.1;10.4;49.69;9.480;172.5;0.06
After 1 year;3.76;20;17;15;0.40;9;9;54;150;45;9;1200;1;2;8;3300;1;16;14;21;1;4;1;4;16;1;1300;1;2.9;10.7;51.61;9.880;165.5;0.09
After 1 year;3.8;21;19;16;0.28;37;6;110;130;31;6;1200;1;2;5;3400;1;16;13;17;1;4;1;3;6;1;1300;1;3.5;11.3;49.94;9.594;169.5;0.06
After 1 year;3.9;20;16;13;0.22;7;1;7;42;1;1;1200;1;2;5;3400;1;15;11;16;1;4;1;4;18;1;1300;1;2.7;10.6;52.58;9.980;206.0;0.07
After 1 year;3.9;17;12;10;0.07;6;1;1;6;1;1;1400;1;2;5;3500;1;3;3;7;1;4;1;2;7;1;1500;1;2.9;11.2;53.03;10.76;148.5;0.09
After 1 year;4.0;21;18;13;0.31;6;1;6;47;1;1;1300;1;2;5;3400;1;8;8;10;1;4;1;3;4;1;1300;1;3.3;10.1;44.42;9.330;165.5;0.06
After 1 year;4.0;18;14;11;0.03;1;1;7;7;7;1;1400;1;2;5;3600;1;5;3;9;1;4;1;2;9;1;1500;1;2.7;12.0;50.87;10.40;154.5;0.09
